Users,med_1,med_2,notch_1,notch_2,Expertise
000,0.36376804697044,0.331969398378848,0.0186387009505621,0.0147421867481253,3
008,0.487416494522524,0.441708027513048,0.100944157497908,0.0748673410059492,2
029,0.523349061578341,0.45974306861519,0.0445333714188512,0.0529475832870084,1
041,0.648358504624641,0.598915698554925,0.106324699874682,0.0785921314343595,3
050,0.489333903654795,0.395304284759334,0.03967276444372,0.0418111808706283,1
113,0.424383208495808,0.391206044236547,0.0348689391334159,0.0364694772536899,2
160,0.430865656789842,0.542044178666084,0.0336323760626802,0.061209602133434,1
194,0.471539617001823,0.52110038320503,0.0526937652897218,0.0628418962985172,2
208,0.330018107796298,0.350086437306149,0.0173468166421819,0.021710198164804,1
211,0.413530079385873,0.405744292112075,0.107134676970006,0.0538538988976089,2
278,0.544464687460408,0.515207765275361,0.0581958738905634,0.0823321038690358,1
311,0.369116564464058,0.33067577071001,0.0425058782470773,0.0318083275749643,2
353,0.540529351559298,0.432086326637511,0.052766963186357,0.0446996619465224,1
364,0.479481080153683,0.506268022554832,0.0531669040131506,0.0406701065276225,2
378,0.451973485486836,0.401081259718655,0.0324906273486843,0.029063686960698,3
388,0.285300430551879,0.272202042619246,0.0184547559780758,0.0149639337536347,2
418,0.439814812834831,0.518816941374195,0.0413959881561986,0.0864495883253016,2
456,0.299756805892537,0.33212197395009,0.0293136738127868,0.0467009133133006,1
495,0.299551009242796,0.292241030251405,0.028166892665745,0.0208833851435202,2
546,0.435947365115414,0.481429408971246,0.0339586809359972,0.0718147535371789,1
548,0.382255206823758,0.406054402889845,0.0256842277046494,0.0488736958031826,3
555,0.501354814655329,0.49099398566148,0.0391663826516471,0.137614697200143,2
573,0.665331985612008,0.549432083537346,0.08381209103799,0.080691012234373,3
640,0.438439425856446,0.371302095629846,0.0225002500513598,0.0217123952749212,1
661,0.296595374511364,0.305888421618484,0.0288029285830969,0.0296421985083998,2
666,0.498013708871478,0.449325725904938,0.0781048088254156,0.0429639414877626,2
710,0.893116248584247,0.679537790517083,0.140374238256254,0.158549284495206,2
740,0.368845090487502,0.360953609292081,0.0290555309847419,0.0357883852015324,1
841,0.408919289667242,0.39181100390254,0.0451470155807928,0.0495398795201316,1
851,0.455719210302676,0.486428613623287,0.0535790436742414,0.058889639187868,1
922,0.599321540485829,0.457795559271878,0.161936406999261,0.0507493836284239,1
